00.0101 头部血管治疗性超声
95.0102 视力检查
95.0104 角膜内皮镜检查
95.0105 角膜曲率检查
95.0200 综合性眼检查
95.0300x004 巩膜透照
95.0301 青光眼检查
95.0302 神经性眼病检查
95.0303 视网膜疾病检查
95.0400 麻醉下眼检查
95.0500 视野检查
95.0600 色觉检查
95.0700 黑暗适应检查
95.0901 视觉检查
95.1100 眼底照相术
95.1200x003 吲哚青绿脉络膜血管造影
95.1201 眼荧光素血管造影
95.1202 眼毛细血管显微镜检查
95.1300 眼超声检查
95.1300x002 超声生物显微镜检查[UBM 检查]
95.1400 眼 X 线检查
95.1500 眼运动检查
95.1601 光学相干性视网膜扫描
95.2100 视网膜电图[ERG]
95.2200 眼动图[EOG]
95.2300 视觉诱发电位[VEP]
95.2400 眼震电流描记图[ENG]
95.2500 眼肌电图[EMG]
95.2601 角膜地形图
95.3101 配镜
95.3200x001 角膜接触镜配镜
95.3301 助视镜安装
95.3400 眼假体
95.3500 视轴矫正训练
95.3600 眼科咨询和指导
95.4101 电测听检查
95.4102 耳声发射
95.4201 音叉听力试验
95.4202 耳语听力试验
95.4300 听力评估
95.4301 韦伯听力评估
95.4401 前庭功能热试验
95.4500 旋转测验
95.4601 前庭功能检查
95.4700x002 听觉诱发电位[AEP]
95.4800 助听器安装
95.4900 其他与听力相关的非手术性操作
95.4900x001 人工耳蜗调试
96.0100 鼻咽导气管的置入
96.0200 口咽导气管置入
96.0300 食管阻塞导气管置入
96.0500x002 喉罩插入
96.0700x001 胃插管减压
96.0700x002 NAVA 导管插入
96.0800x001 肠插管减压
96.0800x004 鼻空肠营养管置入术
96.0800x005 鼻十二指肠营养管置入术
96.0800x006 经鼻肠营养管置入术
96.0800x007 经鼻肠营养管调整术
96.0900 直肠导管置入
96.0901 直肠导管置换
96.1100 外耳道填塞
96.1400 阴道填塞
96.1500 阴道塑模置入
96.1600x001 阴道扩张
96.1601 阴道口手法扩张术
96.1700 阴道隔膜置入
96.1900 直肠填塞
96.2100 额鼻管扩张
96.2200 直肠扩张
96.2300 肛门括约肌扩张
96.2400x001 肠造口扩张
96.2401 结肠造口手法扩张
96.2501 膀胱水扩张疗法
96.2600 直肠脱垂手法复位术
96.2700 疝手法复位术
96.2800 肠造口脱垂手法复位术
96.3100x001 胃低温
96.3200 胃冷冻
96.3300 胃灌洗
96.3400x001 鼻-胃管冲洗
96.3500x001 鼻饲
96.3601 胃造口冲洗
96.3602 肠造口冲洗
96.3700x001 菌群移植治疗
96.3800 嵌塞粪便去除
96.3901 直肠冲洗
96.3902 中药结肠透析
96.3903 小儿中药灌肠退热术
96.3904 中药保留灌肠
96.4101 胆囊造口冲洗
96.4102 胆管冲洗
96.4200 胰管冲洗术
96.4300 消化道滴注，除外胃饲法（胃管）
96.4400 阴道冲洗
96.4501 肾造口冲洗
96.4502 肾盂造口冲洗
96.4601 输尿管造口冲洗
96.4602 输尿管导管冲洗
96.4700 膀胱造口冲洗术
96.4801 导尿管冲洗
96.4901 膀胱灌注
96.5100 眼冲洗术
96.5200x001 耳耵聍去除
96.5200x002 外耳道冲洗
96.5201 耵聍冲洗术
96.5300 鼻道冲洗术
96.5400x001 洁牙
96.5400x002 龈下刮治术
96.5401 超声洁牙术
96.5700 血管导管冲洗术
96.5800 伤口导管冲洗术
96.5900x001 清洁伤口
96.6x01 肠内高营养
96.6x02 胃肠内高营养
97.0101 鼻-胃管置换
97.0200 胃造口导管置换
97.0301 小肠造口导管置换
97.0302 空肠造口管置换术
97.0401 大肠造口导管置换
97.0501 胆管引流管置换术
97.0503 胰管套管置换
97.0504 胆囊引流管置换术
97.1100 置换上肢石膏管型
97.1200 置换下肢石膏管型
97.1300x001 石膏置换
97.1400x001 外固定置换
97.1500 置换伤口引流管
97.1600x001 伤口填塞物置换
97.1600x002 伤口引流条置换
97.2100 鼻填塞物的置换
97.2200 牙填塞物的置换
97.2300 气管造口导管的置换
97.2301 气管套管置换术
97.2400x001 阴道隔膜置换
97.2500x001 子宫托置换
97.2601 阴道填塞物置换
97.2602 阴道引流物置换
97.2900 其他非手术性置换
97.2900x001 耳内填塞物置换
97.3100 去除眼假体
97.3200 去除鼻填塞物
97.3300x001 颌间结扎去除
97.3400 去除牙填塞物
97.3500 去除牙假体
97.3600x002 颌骨外固定去除
97.3601 颌骨牵引器去除
97.3700x001 气管插管去除
97.3800x001 口腔缝线去除
97.3801 角膜缝线去除
97.3802 结膜缝线去除
97.3803 眼部缝线去除
97.3804 头部缝线去除
97.3805 颈部缝线去除
97.3806 腭部缝线去除
97.3901 颈部治疗性装置去除
97.3902 头部治疗性装置去除
97.3903 鼻后孔成形管取出术
97.3904 头盆环牵引去除
97.3905 鼻泪管支架取出术
97.4101 胸腔引流管取出术
97.4200 去除纵隔引流物
97.4300 去除胸缝线
97.4400x003 主动脉球囊反搏装置去除[IABP 装置去除]
97.4401 循环辅助装置去除
97.4402 心脏辅助装置去除
97.4900 去除胸的其他装置
97.5100 去除胃造口导管
97.5200 去除小肠导管
97.5301 直肠导管去除
97.5400 去除胆囊造口导管
97.5501 去除胆管支架
97.5502 胆管引流管取出术
97.5503 去除 T 型管术
97.5504 肝引流管取出术
97.5602 胰腺引流管去除
97.5603 去除胰腺导管
97.6101 肾造口导管取出术
97.6102 肾盂造口导管取出术
97.6201 输尿管导管去除
97.6202 输尿管造口导管去除
97.6203 输尿管双“J”管取出术
97.6204 输尿管镜输尿管支架取出术
97.6205 膀胱镜输尿管支架取出术
97.6300 去除膀胱造口导管
97.6400x001 导尿管去除
97.6401 去除留置的泌尿系统导管
97.6402 膀胱镜 D-J 管取出术
97.6501 去除尿道支撑物
97.6901 膀胱支架去除
97.6902 前列腺支架去除
97.7101 子宫内避孕器取出术
97.7102 宫腔镜子宫内避孕器取出术
97.7200 取出子宫内填塞物
97.7300 取出阴道隔膜
97.7400x001 子宫托去除
97.7500x001 阴道填塞物去除
97.7900x003 外阴缝线去除
97.7900x004 阴茎缝线去除
97.7901 阴道缝线去除
97.7902 宫颈缝线去除
97.7903 宫颈管支架取出术
97.7904 宫腔支架取出术
97.8100 去除腹膜后引流装置
97.8200 去除腹膜引流装置
97.8300 去除腹壁缝线
97.8400 去除躯干缝线
97.8500 去除躯干填塞物
97.8600x004 腹腔化疗泵去除
97.8600x006 盆腔化疗泵去除
97.8600x007 腹膜透析导丝法拔管
97.8600x008 腹膜透析腹腔法拔管
97.8600x009 腹膜透析手工法拔管
97.8601 腹膜透析管去除
97.8602 腹腔 DDS 泵取出术
97.8603 肝动脉泵取出术
97.8700x001 躯干装置去除
97.8801 外固定装置取出术
97.8802 石膏外固定去除
97.8900x003 肢体缝线去除
97.8900x004 为肾透析的半永久静脉导管拔管
97.8900x005 为肾透析的临时静脉导管拔管
97.8901 皮肤扩张器取出术
97.8902 输注泵取出术
97.8903 化疗泵取出术
97.8904 缝线去除
97.8905 PICC 管去除
98.0200x001 食管内异物去除
98.0201 食管镜食管异物取出术
98.5900x002 子宫结石体外冲击波碎石
99.0000x002 自体血回输(术中)
99.0001 自体血液回输
99.0100x001 供者采血
99.0100x003 全血置换
99.0101 动脉输血术
99.0102 换血术
99.0200x001 自体血回输
99.0301 输血
99.0400x001 成份血细胞输入
99.0401 红细胞输入
99.0500 输入血小板
99.0601 输入抗血友病因子
99.0701 血浆输入
99.0800 血容量扩充药的输入
99.0901 人造血浆输入
99.0902 间充质干细胞回输
99.1000x011 下腔静脉导管溶栓
99.1100 注射 Rh 免疫球蛋白
99.1201 脱敏疗法
99.1300 自体免疫病的免疫接种
99.1401 免疫血清注射
99.1501 全部胃肠外营养
99.1502 周围胃肠外营养
99.1600x003 肉毒素注射
99.1601 抗蛇毒素注射
99.1602 重金属拮抗剂注射
99.1700 注射胰岛素
99.1800x001 电解质制剂注射
99.1800x002 电解质制剂输注
99.1900 注射凝血药
99.2000x001 血小板抑制剂注射
99.2000x002 血小板抑制剂输注
99.2100 注射抗生素
99.2200x001 抗感染药物注射
99.2300 类固醇注射
99.2400x001 肾上腺皮质激素类药物注射
99.2401 骨囊肿激素注射术
99.2600 注射镇静药
99.2700 电离子透入疗法
99.2802 小剂量白介素治疗
99.2803 溶瘤腺病毒注射术
99.2900x005 肛周湿疹封闭
99.2900x006 玻尿酸注射
99.2900x007 非抗肿瘤免疫治疗
99.2901 异位妊娠化疗药物注射
99.2902 穴位注射
99.2903 膀胱颈硬化剂注射
99.2904 血管瘤硬化剂注射
99.2905 血管瘤平阳霉素注射
99.2906 颞部充填术（透明质酸钠注射）
99.2907 超声定位下肉毒素注射
99.2908 肌电定位下肉毒素注射
99.3100 抗霍乱接种
99.3200 抗伤寒和副伤寒接种
99.3300 抗结核接种
99.3400 抗鼠疫接种
99.3500 抗兔热病接种
99.3600 应用白喉类毒素
99.3700 接种抗百日咳
99.3800 破伤风类毒素应用
99.3900 白喉-百日咳-破伤风的三联混合菌应用
99.4100 脊髓灰质炎疫苗应用
99.4200 抗天花接种
99.4300 抗黄热病接种
99.4400 抗狂犬病接种
99.4500 抗麻疹接种
99.4600 抗流行性腮腺炎接种
99.4700 抗风疹接种
99.4800 使用麻疹-流行性腮腺炎-风疹疫苗
99.5100 抗感冒的预防性接种
99.5200 抗流行性感冒的预防性接种
99.5300x001 病毒性脑炎疫苗预防性接种
99.5400 抗节肢动物传播的病毒性疾病的预防性接种
99.5500 抗其他疾病的预防性疫苗应用
99.5600 应用破伤风抗毒素
99.5600x001 破伤风抗毒素治疗
99.5700x001 肉毒中毒抗毒素治疗
99.5801 气性坏疽抗毒素治疗
99.5802 猩红热抗毒素治疗
99.5900 其他种痘和接种
99.6000 心肺复苏
99.6100 心房复律术
99.6200x001 电除颤
99.6201 心律电复律
99.6202 心室内除颤
99.6300x001 心外按压
99.6400 颈动脉窦剌激
99.6900 其他心律复转
99.7100 治疗性血浆去除术
99.7200 治疗性白细胞去除术
99.7200x002 治疗性淋巴细胞去除
99.7200x003 治疗性粒细胞去除
99.7300 治疗性红细胞去除术
99.7400 治疗性血小板去除术
99.7500 神经保护药的使用
99.7600 体外免疫吸附
99.7700x001 屏障物置入
99.7800 液体平衡疗法
99.7901 干细胞采集
99.8100x001 体表物理降温
99.8200x002 局部红外线照射
99.8200x003 新生儿紫外线照射
99.8200x004 局部紫外线照射
99.8300x003 强脉冲光治疗
99.8300x004 红光治疗
99.8300x005 蓝光照射治疗
99.8301 新生儿蓝光治疗
99.8400 隔离
99.8500x001 微波治疗
99.8500x002 振荡波治疗
99.8500x003 热疗(用于癌症)
99.8500x004 高强度聚焦超声治疗[HIFU]
99.8501 癌瘤微波治疗术
99.8502 体外聚焦热疗[FEP]
99.8503 温热化疗术
99.8601 骨创伤治疗仪使用
99.8800x002 光化学疗法[PUVA]
99.8801 光动力学疗法
99.8802 胆管癌光化学疗法[PUVA]
99.8803 食管癌光化学疗法[PUVA]
99.8804 胃癌光化学疗法[PUVA]
99.9100 针刺用于麻醉
99.9300 直肠按摩(用于提肛肌痉挛)
99.9400 前列腺按摩
99.9500 包皮伸长
99.9600 收集精液用于人工授精
99.9700 安装牙托
99.9800 授乳乳房的乳汁抽吸
99.9900x010 氩气刀治疗
99.9900x011 口服免疫抑制剂治疗
99.9901 水蛭疗法
99.9902 蜂针疗法
