B95.000 A 族链球菌作为分类于其他章疾病的原因
B95.100 B 族链球菌作为分类于其他章疾病的原因
B95.200 D 组链球菌和肠球菌疾病作为其他章节疾病分类的原因
B95.300 肺炎链球菌作为分类于其他章疾病的原因
Y56.000x002 碘药物外用反应
Y56.000x003 克霉唑药物反应
Y56.100 止痒药的有害效应
Y56.200 局部收敛药和局部去污剂的有害效应
Y56.300 润滑药、缓和剂和保护药的有害效应
Y56.400 角质层分离药、角质层增生药和其他毛发治疗的药物和制剂的有害效应
Y56.400x001 牛皮癣素软膏药物反应
Y56.500 眼科用药和制剂的有害效应
Y56.500x001 眼用抗感染药和其他眼药物反应
Y56.600 耳鼻喉科药物和制剂的有害效应
Y56.600x001 耳,鼻和咽喉用的抗感染药类和其他药
Y56.700 局部应用的牙科药物的有害效应
Y56.700x001 牙科表面用药类反应
Y56.800 局部制剂的有害效应，其他的
Y56.800x001 樟脑酊药物反应
Y56.800x002 化妆品类过敏
Y56.800x003 染发液过敏
Y56.800x004 杀精子药药物反应
Y56.900 局部制剂的有害效应
Y57.000 食欲抑制剂的有害效应
Y57.100 抗脂肪肝药的有害效应
Y57.200 解毒剂和螯合剂的有害效应，不可归类在他处者
Y57.200x001 青霉胺药物反应
Y57.300 解酒药的有害效应
Y57.400 药用赋形剂的有害效应
Y57.500 X 线造影剂[对比剂]的有害效应
Y57.500x001 造影剂药物反应
Y57.500x002 CT 造影剂药物反应
Y57.500x003 胆影葡安药物反应
Y57.500x004 碘油造影剂药物反应
Y57.600 诊断性制剂的有害效应，其他的
Y57.700 维生素类的有害效应，不可归类在他处者
Y57.700x001 维生素类药物反应
Y57.800 药物和药剂的有害效应，其他的
Y57.800x001 多种药物反应
Y57.800x002 金莲花药物反应
Y57.800x003 益母草药物反应
Y57.800x004 营养药类反应
Y57.900 药物或药剂的有害效应
Y57.900x001 药物反应
Y58.000 卡介苗[BCG 疫苗]的有害效应
Y58.100 伤寒和副伤寒疫苗的有害效应
Y58.200 霍乱疫苗的有害效应
Y58.300 鼠疫疫苗的有害效应
Y58.400 破伤风疫苗的有害效应
Y58.500 白喉疫苗的有害效应
Y58.600 百日咳疫苗的有害效应（包括含有百日咳成分的联合疫苗）
Y58.800 联合细菌疫苗类（除外含有百日咳成分）的有害效应
Y58.900 细菌疫苗类的有害效应，其他和未特指的
Y59.000 病毒疫苗类的有害效应
Y59.000x001 天花疫苗反应
Y59.000x003 脊髓灰质炎疫苗反应
Y59.000x004 麻疹疫苗反应
Y59.100 立克次体疫苗类的有害效应
Y59.101 斑疹伤寒疫苗反应
Y59.200 原虫疫苗类的有害效应
Y59.300 免疫球蛋白的有害效应
Y59.300x001 抗破伤风类药物反应
Y59.300x002 免疫球蛋白反应
Y59.300x003 人免疫球蛋白狂犬病药物反应
Y59.800 疫苗类和生物制品的有害效应，其他特指的
Y59.800x001 黄热病疫苗反应
Y59.900 疫苗类或生物制品的有害效应
Y60.000x001 在手术中的意外损伤
Y60.000x002 在手术和医疗中的意外切割
Y60.000x003 在手术和医疗中的意外针刺
Y60.000x004 在手术和医疗中的意外穿孔
Y60.000x005 在手术和医疗中的意外出血
Y60.100 在输液或输血中非故意的切割、针刺、穿孔或出血
Y60.100x001 在输液或输血中意外损伤
Y60.200 在肾透析或其他灌注中非故意的切割、针刺、穿孔或出血
Y60.200x001 在肾透析或其他灌注中意外损伤
Y60.300 在注射或人工免疫中非故意的切割、针刺、穿孔或出血
Y60.300x001 在注射或人工免疫中意外损伤
Y60.400 在内镜检查中非故意的切割、针刺、穿孔或出血
Y60.400x001 在内窥镜检查中意外损伤
Y60.500 在心导管插入术中非故意的切割、针刺、穿孔或出血
Y60.500x001 在心导管插入术中意外损伤
Y60.600 在抽吸、穿刺和其他导管插入手术中非故意的切割、针刺、穿孔或出血
Y60.600x001 医疗插管中意外损伤
Y60.700 在施行灌肠中非故意的切割、针刺、穿孔或出血
Y60.700x001 进行灌肠中意外损伤
Y60.800 在其他手术和医疗中非故意的切割、针刺、穿孔或出血
Y60.900 在手术和医疗中非故意的切割、针刺、穿孔或出血
Y60.900x001 在手术和医疗中的意外损伤
Y61.000 在手术中异物意外地遗留在体内
Y61.100 在输液或输血中异物意外地遗留在体内
Y61.200 在肾透析或其他灌注中异物意外地遗留在体内
Y61.300 在注射或人工免疫中异物意外地遗留在体内
Y61.400 在内镜检查中异物意外地遗留在体内
Y61.500 在心导管插入术中异物意外地遗留在体内
Y61.600 在抽吸、穿刺和其他导管插入手术中异物意外地遗留在体内
Y61.700 在取除导管或填塞物中异物意外地遗留在体内
Y61.800 在其他手术和医疗中异物意外地遗留在体内
Y61.900 在手术和医疗中异物意外地遗留在体内
Y62.000 在手术中无菌预防措施的失败
Y62.100 在输液或输血中无菌预防措施的失败
Y62.200 在肾透析或其他灌注中无菌预防措施的失败
Y62.300 在注射或人工免疫中无菌预防措施的失败
Y62.400 在内镜检查中无菌预防措施的失败
Y62.500 在心导管插入术中无菌预防措施的失败
Y62.600 在抽吸、穿刺和其他导管插入手术中无菌预防措施的失败
Y62.800 在其他手术和医疗中无菌预防措施的失败
Y62.900 在手术和医疗中无菌预防措施的失败
Y63.000 在输血或输液中给予过量的血或其他液体
Y63.000x001 输血或输液时液体过量
Y63.100 在输液中使用稀释不正确的液体
Y63.200 在治疗中给予过量的辐射
Y63.300 在医疗中非故意使病人暴露于辐射下
Y63.400 在电休克或胰岛素休克治疗中使用剂量不当
Y63.500 局部敷料和填塞物的温度不当
Y63.600 未给予必要的药物、药剂或生物制品
Y63.600x001 未用必要的药物或药剂
Y63.800 在其他手术和医疗中使用剂量不当
Y63.900 在手术和医疗中使用剂量不当
Y64.000 用于输血或输液的医疗或生物材料被污染
Y64.000x001 输液器械的污染
Y64.100 用于注射或免疫接种的医疗或生物材料被污染
Y64.100x001 注射的或用作疫苗接种的污染物质
Y64.800 任何其他形式的医疗或生物材料被污染
Y64.900 医疗或生物材料被污染
Y65.000 在输血中使用配错的血
Y65.100 在输液中使用错误的液体
Y65.200 在手术中缝合或结扎不当
Y65.300 在麻醉操作中气管内插管错误放置
Y65.400 插入或取除其他导管或器械不当
Y65.500 不恰当手术的实行
Y65.800 在手术和医疗中其他特指的意外事故
Y66.x00 未给予手术和医疗
Y66.x00x001 手术和医疗的过早停止
Y69.x00 在手术和医疗中的意外事故
Y69.x00x001 医疗中意外事故
Y69.x00x002 医疗中意外损伤
Y70.000 与有害事件有关的麻醉诊断和监测装置
Y70.100 与有害事件有关的麻醉治疗和康复装置（非手术的）
Y70.200 与有害事件有关的麻醉假体和其他植入物、材料和附件装置
Y70.300 与有害事件有关的麻醉手术器械、材料和装置（包括缝线）
Y70.800 与有害事件有关的麻醉多用途装置，不可归类在他处者
Y71.000 与有害事件有关的心血管诊断和监测装置
Y71.100 与有害事件有关的心血管治疗和康复装置（非手术的）
Y71.200 与有害事件有关的心血管假体和其他植入物、材料和附件装置
Y71.300 与有害事件有关的心血管手术器械、材料和装置（包括缝线）
Y71.800 与有害事件有关的心血管多用途装置，不可归类在他处者
Y72.000 与有害事件有关的耳鼻喉科诊断和监测装置
Y72.100 与有害事件有关的耳鼻喉科治疗和康复装置（非手术的）
Y72.200 与有害事件有关的耳鼻喉科假体和其他植入物、材料和附件装置
Y72.300 与有害事件有关的耳鼻喉科手术器械、材料和装置（包括缝线）
Y72.800 与有害事件有关的耳鼻喉科多用途装置，不可归类在他处者
Y73.000 与有害事件有关的胃肠病学和泌尿科诊断和监测装置
Y73.100 与有害事件有关的胃肠病学和泌尿科治疗和康复装置（非手术的）
Y73.200 与有害事件有关的胃肠病学和泌尿科假体和其他植入物、材料和附件装置
Y73.300 与有害事件有关的胃肠病学和泌尿科手术器械、材料和装置（包括缝线）
Y73.800 与有害事件有关的胃肠病学和泌尿科多用途装置，不可归类在他处者
Y74.000 与有害事件有关的综合医院用和个人使的诊断和监测装置
Y74.100 与有害事件有关的综合医院用和个人使的治疗和康复装置（非手术的）
Y74.200 与有害事件有关的综合医院用和个人使的假体和其他植入物、材料和附件装置
Y74.300 与有害事件有关的综合医院用和个人使的手术器械、材料和装置（包括缝线）
Y74.800 与有害事件有关的综合医院用和个人使的多用途装置，不可归类在他处者
Y75.000 与有害事件有关的神经科诊断和监测装置
Y75.100 与有害事件有关的神经科治疗和康复装置（非手术的）
Y75.200 与有害事件有关的神经科假体和其他植入物、材料和附件装置
Y75.300 与有害事件有关的神经科手术器械、材料和装置（包括缝线）
Y75.800 与有害事件有关的神经科多用途装置，不可归类在他处者
Y76.000 与有害事件有关的妇产科诊断和监测装置
Y76.100 与有害事件有关的妇产科治疗和康复装置（非手术的）
Y76.200 与有害事件有关的妇产科假体和其他植入物、材料和附件装置
Y76.200x001 避孕环残留
Y76.200x002 避孕环嵌顿
Y76.200x003 避孕环移位
Y76.300 与有害事件有关的妇产科手术器械、材料和装置（包括缝线）
Y76.800 与有害事件有关的妇产科多用途装置，不可归类在他处者
Y77.000 与有害事件有关的眼科诊断和监测装置
Y77.100 与有害事件有关的眼科治疗和康复装置（非手术的）
Y77.200 与有害事件有关的眼科假体和其他植入物、材料和附件装置
Y77.300 与有害事件有关的眼科手术器械、材料和装置（包括缝线）
Y77.800 与有害事件有关的眼科多用途装置，不可归类在他处者
Y78.000 与有害事件有关的放射学诊断和监测装置
Y78.100 与有害事件有关的放射学治疗和康复装置（非手术的）
Y78.200 与有害事件有关的放射学假体和其他植入物、材料和附件装置
Y78.300 与有害事件有关的放射学手术器械、材料和装置（包括缝线）
Y78.800 与有害事件有关的放射学多用途装置，不可归类在他处者
Y79.000 与有害事件有关的矫形外科诊断和监测装置
Y79.100 与有害事件有关的矫形外科治疗和康复装置（非手术的）
Y79.200 与有害事件有关的矫形外科假体和其他植入物、材料和附件装置
Y79.300 与有害事件有关的矫形外科手术器械、材料和装置（包括缝线）
Y79.800 与有害事件有关的矫形外科多用途装置，不可归类在他处者
Y80.000 与有害事件有关的理疗诊断和监测装置
Y80.100 与有害事件有关的理疗治疗和康复装置（非手术的）
Y80.200 与有害事件有关的理疗假体和其他植入物、材料和附件装置
Y80.300 与有害事件有关的理疗手术器械、材料和装置（包括缝线）
Y80.800 与有害事件有关的理疗多用途装置，不可归类在他处者
Y81.000 与有害事件有关的普通外科和整形外科诊断和监测装置
Y81.100 与有害事件有关的普通外科和整形外科治疗和康复装置（非手术的）
Y81.200 与有害事件有关的普通外科和整形外科假体和其他植入物、材料和附件装置
Y81.300 与有害事件有关的普通外科和整形外科手术器械、材料和装置（包括缝线）
Y81.800 与有害事件有关的普通外科和整形外科多用途装置，不可归类在他处者
Y82.000 与有害事件有关的其他的医疗诊断和监测装置
Y82.100 与有害事件有关的其他的医疗治疗和康复装置（非手术的）
Y82.200 与有害事件有关的其他的医疗假体和其他植入物、材料和附件装置
Y82.300 与有害事件有关的其他的医疗手术器械、材料和装置（包括缝线）
Y82.800 与有害事件有关的其他的医疗多用途装置，不可归类在他处者
Y83.000 全器官移植手术作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故
Y83.000x001 器官移植手术后异常反应
Y83.100 人工内部装置植入手术作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故
Y83.100x001 人工内部装置植入手术后异常反应
Y83.200 吻合、分流或移植手术作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故
Y83.200x001 吻合,搭桥或移植外科手术后异常反应
Y83.300 外造口形成手术作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故
Y83.300x001 外造口形成的外科手术后异常反应
Y83.400 重建手术作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故，其他的
Y83.400x001 脊柱恻弯术后脱钩
Y83.500 肢体截肢术作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故
Y83.500x001 肢体截肢术后异常反应
Y83.600 器官的取除（部分）（全部）作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故,其他的
Y83.800 外科操作作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故，其他特指的
Y83.900 外科操作作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故
Y83.900x001 产科病人术后并发症
Y83.900x002 术后晚期并发症
Y83.900x003 胃肠道术后并发症
Y84.000 心导管插入术作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故
Y84.000x001 心导管插入术异常反应
Y84.100 肾透析作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故
Y84.100x001 肾透析后异常反应
Y84.200 放射学操作和放射治疗作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故
Y84.200x001 放射学操作和放射治疗后异常反应
Y84.300 休克治疗作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故
Y84.300x001 休克治疗后异常反应
Y84.400 液体抽吸术作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故
Y84.400x001 液体抽吸术后异常反应
Y84.500 胃或十二指肠探子的插入作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故
Y84.500x001 胃或十二指肠探子的插入后异常反应
Y84.600 泌尿道导管插入术作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故
Y84.600x001 泌尿道导管插入术后异常反应
Y84.700 血液取样作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故
Y84.700x001 血液取样后异常反应
Y84.800 医疗操作作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故，其他的
Y84.800x001 注射后的不正常反应
Y84.900 医疗操作作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故
Y84.900x001 医疗并发症
Y85.000 机动车事故的后遗症
Y85.900 运输事故的后遗症，其他和未特指的
Y86.x00 事故的后遗症,其他的
Y86.x00x001 意外中毒的晚期效应
Y86.x00x002 意外坠落的晚期效应
Y86.x00x003 失火事故的晚期效应
Y86.x00x004 由自然和环境因素引起的事故的晚期效应
Y87.000 故意自害的后遗症
Y87.100 加害的后遗症
Y87.200 意图不确定事件的后遗症
Y88.000 在治疗中使用药物、药剂和生物制品引起有害效应的后遗症
Y88.100 在手术和医疗操作中对病人的意外事故的后遗症
Y88.200 与在诊断和治疗中使用医疗装置有关的有害事件的后遗症
Y88.300 手术和医疗操作的后遗症作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故
Y88.300x001 手术和医疗操作的后遗症
Y89.000 依法处置的后遗症
Y89.100 作战行动的后遗症
Y89.900 外因的后遗症
Y90.000 血中酒精水平低于 20mg/100ml
Y90.100 血中酒精水平在 20~39mg/100ml
Y90.200 血中酒精水平在 40~59mg/100ml
Y90.300 血中酒精水平在 60~79mg/100ml
Y90.400 血中酒精水平在 80~99mg/100ml
Y90.500 血中酒精水平在 100~119mg/100ml
Y90.600 血中酒精水平在 120~199mg/100ml
Y90.700 血中酒精水平在 200~239mg/100ml
Y90.800 血中酒精水平在 240mg/100ml 或以上
Y90.900 血中存在酒精
Y91.000 轻度酒精中毒
Y91.100 中度酒精中毒
Y91.200 严重酒精中毒
Y91.300 极严重的酒精中毒
Y91.900 酒精影响
Y95.x00 医源性情况
Y96.x00 与工作有关的情况
Y97.x00 与环境污染有关的情况
Y98.x00 与生活方式有关的情况
Z33.x00x001 妊娠状态
Z33.x01 人工授精妊娠状态
Z33.x02 试管婴儿妊娠状态
Z33.x03 输卵管绝育术后妊娠状态
Z53.000x001 因禁忌症未进行操作
Z53.100x001 因信仰或群体压力使病人决定不进行操作
Z53.200x001 因病人原因未进行操作
Z53.800x001 因病人家属原因未进行操作
Z53.800x002 因医生原因而未进行操作
Z53.800x003 因医疗条件未进行操作
Z53.900x001 未按计划诊疗
Z53.900x002 维持性救治
Z80.000 消化器官恶性肿瘤家族史
Z80.001 胃肠道恶性肿瘤家族史
Z80.002 大肠恶性肿瘤家族史
Z80.100 气管、支气管和肺恶性肿瘤家族史
Z80.200 呼吸和胸腔内器官恶性肿瘤家族史，其他的
Z80.300 乳房恶性肿瘤家族史
Z80.400 生殖器官恶性肿瘤家族史
Z80.401 卵巢恶性肿瘤家族史
Z80.500 泌尿道恶性肿瘤家族史
Z80.600 白血病家族史
Z80.700 淋巴、造血和有关组织恶性肿瘤家族史
Z80.801 涎腺恶性肿瘤家族史
Z80.900 恶性肿瘤家族史
Z81.000x001 精神发育迟滞家族史
Z81.100 酒精滥用家族史
Z81.200 烟草滥用家族史
Z81.300 精神活性物质滥用家族史，其他的
Z81.400 家族史，其他物质滥用的
Z81.800 精神和行为障碍家族史，其他的
Z82.000 癫痫和神经系统其他疾病家族史
Z82.000x001 癫痫病家族史
Z82.100 盲和视力丧失家族史
Z82.200 聋和听力丧失家族史
Z82.300x001 中风家族史
Z82.400 缺血性心脏病和其他循环系统疾病家族史
Z82.500 哮喘和其他慢性下呼吸道疾病家族史
Z82.600 关节炎和肌肉骨骼系统和结缔组织其他疾病家族史
Z82.700 先天性畸形、变形和染色体异常家族史
Z82.701 唐氏综合征家族史
Z82.800 导致劳动能力丧失的某些伤残和慢性疾病家族史，不可归类在他处者
Z83.000 人类免疫缺陷病毒[HIV]病家族史
Z83.100 传染病和寄生虫病家族史，其他的
Z83.200 血液及造血器官疾病和某些涉及免疫机制的疾患家族史
Z83.201 血友病家族史
Z83.300 糖尿病家族史
Z83.400 内分泌、营养和代谢疾病家族史，其他的
Z83.500 眼和耳疾患家族史
Z83.600 呼吸系统疾病家族史
Z83.700 消化系统疾病家族史
Z84.000 皮肤和皮下组织疾病家族史
Z84.100 肾和输尿管疾患家族史
Z84.200 泌尿生殖系统其他疾病家族史
Z84.201 生殖系统疾病家族史
Z84.300 同血缘家族史
Z84.800 家族史，其他特指情况
Z85.000x001 胆囊恶性肿瘤史
Z85.000x008 胆道恶性肿瘤史
Z85.001 食管恶性肿瘤个人史
Z85.002 胃恶性肿瘤个人史
Z85.003 小肠恶性肿瘤个人史
Z85.004 盲肠恶性肿瘤个人史
Z85.005 阑尾恶性肿瘤个人史
Z85.006 结肠恶性肿瘤个人史
Z85.007 直肠恶性肿瘤个人史
Z85.008 肝恶性肿瘤个人史
Z85.009 胰腺恶性肿瘤个人史
Z85.100 气管、支气管和肺恶性肿瘤个人史
Z85.101 肺恶性肿瘤个人史
Z85.201 呼吸系统恶性肿瘤个人史
Z85.203 鼻窦恶性肿瘤个人史
Z85.204 喉恶性肿瘤个人史
Z85.205 胸腺恶性肿瘤个人史
Z85.300x001 乳腺恶性肿瘤史
Z85.400x003 子宫恶性肿瘤史
Z85.400x008 附睾恶性肿瘤史
Z85.401 外阴恶性肿瘤个人史
Z85.402 子宫内膜恶性肿瘤个人史
Z85.403 宫颈恶性肿瘤个人史
Z85.404 卵巢恶性肿瘤个人史
Z85.406 绒毛膜癌个人史
Z85.407 前列腺恶性肿瘤个人史
Z85.408 阴茎恶性肿瘤个人史
Z85.409 睾丸恶性肿瘤个人史
Z85.500 泌尿道恶性肿瘤个人史
Z85.500x002 肾盂恶性肿瘤史
Z85.501 肾恶性肿瘤个人史
Z85.502 输尿管恶性肿瘤个人史
Z85.503 膀胱恶性肿瘤个人史
Z85.600x001 白血病史
Z85.700x001 多发性骨髓瘤史
Z85.701 恶性淋巴瘤个人史
Z85.800x002 口底恶性肿瘤史
Z85.800x003 口咽恶性肿瘤史
Z85.800x005 下咽部恶性肿瘤史
Z85.800x006 脊髓恶性肿瘤史
Z85.800x011 恶性黑色素瘤史
Z85.801 脑恶性肿瘤个人史
Z85.802 口腔恶性肿瘤个人史
Z85.803 舌恶性肿瘤个人史
Z85.804 甲状腺恶性肿瘤个人史
Z85.805 扁桃体恶性肿瘤个人史
Z85.806 腮腺恶性肿瘤个人史
Z85.807 胸内恶性肿瘤个人史
Z85.808 腹膜恶性肿瘤个人史
Z85.809 鼻咽恶性肿瘤个人史
Z85.810 皮肤恶性肿瘤个人史
Z85.900 恶性肿瘤个人史
Z86.001 宫颈原位肿瘤个人史
Z86.002 肾上腺良性肿瘤个人史
Z86.003 恶性葡萄胎个人史
Z86.100 传染病和寄生虫病个人史
Z86.100x021 脊髓灰质炎病史
Z86.100x031 疟疾病史
Z86.100x801 严重急性呼吸综合征个人史
Z86.101 伤寒个人史
Z86.102 血吸虫病个人史
Z86.103 梅毒个人史
Z86.104 结核个人史
Z86.200x001 血液和造血器官疾病史
Z86.200x002 免疫系统疾病史
Z86.300 内分泌、营养和代谢疾病个人史
Z86.300x001 甲状腺功能亢进史
Z86.301 营养缺乏个人史
Z86.400 精神活性物质滥用个人史
Z86.501 精神病个人史
Z86.600 神经系统和感觉器官疾病个人史
Z86.600x001 视力问题个人史
Z86.600x002 听觉问题个人史
Z86.600x003 嗅觉和味觉问题个人史
Z86.600x004 发声问题个人史
Z86.600x005 吞咽和咀嚼问题个人史
Z86.700 循环系统疾病个人史
Z86.701 病毒性心肌炎个人史
Z86.702 脑出血个人史
Z86.703 脑梗死个人史
Z87.000 呼吸系统疾病个人史
Z87.100 消化系统疾病个人史
Z87.100x011 消化性溃疡个人史
Z87.100x021 结肠息肉个人史
Z87.200 皮肤和皮下组织疾病个人史
Z87.300 肌肉骨骼系统和结缔组织疾病个人史
Z87.400 泌尿生殖系统疾病个人史
Z87.500x001 绒毛膜上皮性疾病个人史
Z87.500x003 剖宫产个人史
Z87.500x004 异位妊娠个人史
Z87.500x005 不良孕产个人史
Z87.600x001 围生期问题个人史
Z87.701 先天异常疾病个人史
Z87.800 个人史，其他特指情况的
Z88.000x001 青霉素过敏史
Z88.101 链霉素过敏个人史
Z88.102 氟哌酸过敏个人史
Z88.200x001 磺胺类药过敏史
Z88.300x001 抗感染剂过敏史
Z88.301 呋喃坦啶过敏个人史
Z88.302 痢特灵过敏个人史
Z88.400x001 麻醉剂过敏史
Z88.500x001 催眠剂过敏史
Z88.600x001 镇痛药过敏史
Z88.700x001 血清和疫苗过敏史
Z88.801 阿托品过敏个人史
Z88.802 氨茶碱过敏个人史
Z88.803 鼻炎宁冲剂过敏个人史
Z88.804 别嘌呤醇过敏个人史
Z88.805 低分子右旋糖酐过敏个人史
Z88.806 颠茄过敏个人史
Z88.807 碘剂过敏个人史
Z88.808 泛影葡胺过敏个人史
Z88.811 汞剂过敏个人史
Z88.812 甲氰咪胍过敏个人史
Z88.813 酒精过敏个人史
Z88.814 抗高血压药过敏个人史
Z88.815 抗甲状腺素药过敏个人史
Z88.817 麻黄素过敏个人史
Z88.818 灭吐灵过敏个人史
Z88.819 脑益嗪过敏个人史
Z88.820 扑尔敏过敏个人史
Z88.821 氢化可的松过敏个人史
Z88.822 肾上腺素过敏个人史
Z88.823 心律平过敏个人史
Z88.824 烟酸过敏个人史
Z88.825 优降糖过敏个人史
Z88.900x001 药物过敏史
Z89.000x001 后天性单侧手指缺失
Z89.000x002 后天性单侧指缺损
Z89.000x003 后天性单侧拇指缺损
Z89.100x001 后天性手和腕缺失
Z89.200 腕以上的上肢后天性缺失
Z89.200x002 后天性肱骨缺失
Z89.300 双上肢[任何水平]后天性缺失
Z89.300x002 后天性双侧指缺失
Z89.400x001 后天性足和踝缺失
Z89.401 后天性趾缺失
Z89.500x002 后天性小腿缺失
Z89.600x001 手术后股骨缺失
Z89.600x002 后天性膝以上大腿缺失
Z89.700x001 后天性双下肢缺失
Z89.800 上肢和下肢后天性缺失[任何水平]
Z89.800x001 后天性上肢和下肢缺失
Z89.900x001 后天性四肢缺失
Z90.000x001 后天性头部器官缺失
Z90.000x002 后天性头皮缺失
Z90.000x003 手术后颅骨缺失
Z90.000x004 手术后颌骨缺损
Z90.000x005 后天性上颌骨缺失
Z90.000x006 后天性无眼球
Z90.000x007 后天性上腭缺损
Z90.000x008 后天性下颌骨缺失
Z90.000x009 后天性喉缺失
Z90.000x010 后天性睫毛缺失
Z90.000x011 后天性睑缘缺失
Z90.000x012 后天性颊的缺损
Z90.000x013 后天性颧骨缺失
Z90.000x014 后天性眶壁缺失
Z90.000x015 后天性眼睑缺失
Z90.000x016 后天性颅骨缺损
Z90.000x017 后天性额部缺损
Z90.000x018 后天性颞部缺损
Z90.000x019 后天性面部缺损
Z90.000x021 后天性唇缺失
Z90.000x022 后天性耳缺损
Z90.000x023 后天性耳廓缺损
Z90.001 眼球摘除术后状态
Z90.002 后天性鼻缺失
Z90.100x001 后天性乳房缺失
Z90.200x001 后天性肺[部分]缺失
Z90.300x001 后天性胃部分缺失
Z90.400x001 后天性结肠[部分]缺失
Z90.400x002 后天性消化道部分缺失
Z90.400x003 后天性胆囊缺失
Z90.401 食管切除术后状态
Z90.402 食管部分切除术后状态
Z90.403 小肠部分切除术后状态
Z90.404 全结肠切除术后状态
Z90.405 结肠部分切除术后状态
Z90.406 直肠切除术后状态
Z90.407 胰腺切除术后状态
Z90.500x001 手术后肾缺失
Z90.600 泌尿道其他部分后天性缺失
Z90.600x002 后天性膀胱缺失
Z90.600x003 后天性输尿管缺失
Z90.700x002 后天性阴囊缺失
Z90.700x003 后天性龟头缺失
Z90.700x005 后天性阴茎缺失
Z90.700x006 后天性卵巢缺失
Z90.701 子宫切除术后状态
Z90.702 子宫部分切除术后状态
Z90.703 宫颈切除术后状态
Z90.704 单侧卵巢切除术后状态
Z90.705 双侧卵巢切除术后状态
Z90.706 单侧输卵管卵巢切除术后状态
Z90.707 双侧输卵管卵巢切除术后状态
Z90.708 前列腺切除术后状态
Z90.709 睾丸切除术后状态
Z90.800x002 后天性肋骨缺失
Z91.000 非药物和生物制品过敏个人史
Z91.100 不服从医疗和医疗制度个人史
Z91.200 个人卫生不良个人史
Z91.300 有害健康的作息安排个人史
Z91.400x001 心理创伤史
Z91.500x001 假自杀史
Z91.500x003 自杀企图史
Z91.501 服毒个人史
Z91.601 损伤个人史
Z91.700 女性生殖器官切割史
Z91.800x001 铅中毒史
Z91.800x002 吸烟史
Z92.000x001 避孕史
Z92.001 输卵管绝育史
Z92.100 长期（近期）使用抗凝血药个人史
Z92.200 长期（近期）使用其他药剂个人史
Z92.200x021 胰岛素使用史
Z92.201 使用阿司匹林个人史
Z92.300x001 放射治疗史
Z92.401 脑血管手术史
Z92.402 脑肿瘤切除史
Z92.500 康复措施个人史
Z92.600 肿瘤化疗个人史
Z92.800x001 电除颤史
Z92.800x002 电复律史
Z92.900 医疗个人史
Z93.100 胃造口状态
Z93.200 回肠造口状态
Z93.201 空肠造口状态
Z93.300 结肠造口状态
Z93.400 胃肠道的其他人工造口状态
Z93.500 膀胱造口状态
Z93.601 肾造口术状态
Z93.602 输尿管造术状态
Z93.603 尿道造口状态
Z93.800 人工造口状态,其他的
Z93.900 人工造口状态
Z94.001 自体肾移植状态
Z94.002 异体肾移植状态
Z94.100 心脏移植状态
Z94.200 肺移植状态
Z94.300x001 心肺移植状态
Z94.400 肝移植状态
Z94.500 皮肤移植状态
Z94.500x001 自体皮肤移植状态
Z94.500x003 皮管移植状态
Z94.500x004 皮瓣移植状态
Z94.500x005 原皮回植状态
Z94.500x006 皮瓣舒平状态
Z94.500x007 皮瓣延迟状态
Z94.600 骨移植状态
Z94.700 角膜移植状态
Z94.800x004 外周干细胞移植状态
Z94.800x006 外耳移植状态
Z94.800x007 毛发移植状态
Z94.800x010 脐血干细胞移植状态
Z94.800x011 自体造血干细胞移植状态
Z94.800x012 造血干细胞移植状态
Z94.801 肠移植状态
Z94.802 骨髓移植状态
Z94.803 胰腺移植状态
Z94.804 干细胞移植状态
Z94.900 器官和组织移植状态
Z95.001 具有心脏起搏器
Z95.002 具有心脏再同步治疗除颤器（CRT-D）
Z95.003 具有心脏再同步治疗起搏器
Z95.004 具有复律除颤器
Z95.101 冠状动脉搭桥术后状态
Z95.200x002 二尖瓣机械瓣置换状态
Z95.200x003 主动脉瓣机械瓣置换状态
Z95.200x004 三尖瓣机械瓣置换状态
Z95.300x002 二尖瓣生物瓣置换状态
Z95.300x003 主动脉瓣生物瓣置换状态
Z95.300x004 三尖瓣生物瓣置换状态
